City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,namibe,-15.1961,12.1522,70.83,77,13,5.66,AO,1670269392
174,saint george,37.1041,-113.5841,56.43,61,75,1.99,US,1670269393
175,sindou,10.6667,-5.1667,82.15,27,87,5.7,BF,1670269393
176,constitucion,-35.3333,-72.4167,66.33,60,7,17.76,CL,1670269393
177,sydney,-33.8679,151.2073,63.7,87,20,11.5,AU,1670269165
178,victoria,22.2855,114.1577,58.19,68,50,11.99,HK,1670269394
179,sitka,57.0531,-135.33,35.49,75,75,4.61,US,1670269394
180,abu dhabi,24.4667,54.3667,77.02,78,0,2.3,AE,1670269395
181,itarema,-2.9248,-39.9167,81.59,72,12,18.95,BR,1670269395
182,cidreira,-30.1811,-50.2056,73.45,84,95,10.71,BR,1670269395
183,lorengau,-2.0226,147.2712,78.78,80,100,3.4,PG,1670269396
184,koutsouras,35.0339,25.9469,61.11,71,66,8.7,GR,1670269396
185,atambua,-9.1061,124.8925,72.01,83,91,1.32,ID,1670269396
186,arequipa,-16.3989,-71.535,68.07,24,0,12.66,PE,1670269397
187,horqueta,-23.3428,-57.0597,92.79,43,100,2.82,PY,1670269397
188,khairpur,27.5295,68.7617,59.0,27,0,3.87,PK,1670269397
189,mount isa,-20.7333,139.5,65.97,55,0,0.0,AU,1670269397
190,coquimbo,-29.9533,-71.3436,64.13,77,75,11.5,CL,1670269244
191,owando,-0.4819,15.8999,73.17,85,77,3.15,CG,1670269398
192,baykit,61.67,96.37,1.6,96,85,6.42,RU,1670269398
193,nome,64.5011,-165.4064,30.27,80,75,12.66,US,1670269235
194,moose factory,51.2585,-80.6094,12.2,72,40,14.97,CA,1670269399
195,saldanha,-33.0117,17.9442,62.65,76,99,14.2,ZA,1670269399
196,sistranda,63.7256,8.834,40.96,66,100,21.81,NO,1670269399
197,geraldton,-28.7667,114.6,70.21,78,100,11.5,AU,1670269400
198,tomaszow mazowiecki,51.5313,20.0086,38.26,10,100,5.39,PL,1670269269
199,pevek,69.7008,170.3133,-22.95,86,23,5.06,RU,1670269400
200,vestmannaeyjar,63.4427,-20.2734,41.0,67,31,3.74,IS,1670269401
201,jumla,29.2747,82.1838,38.48,25,0,5.46,NP,1670269401
202,dumingag,8.1692,123.3506,73.99,93,47,2.17,PH,1670269401
203,sorong,-0.8833,131.25,78.24,86,100,6.51,ID,1670269136
204,cantilan,9.3336,125.9775,77.76,87,99,1.86,PH,1670269402
205,portree,57.4129,-6.1942,40.51,86,25,8.03,GB,1670269402
206,yar-sale,66.8333,70.8333,1.89,96,16,6.4,RU,1670269402
207,bonavista,48.6499,-53.1147,38.93,93,100,7.9,CA,1670269403
208,tanda,26.55,82.65,57.6,46,0,7.02,IN,1670269403
209,inirida,3.8653,-67.9239,78.66,91,94,3.31,CO,1670269403
210,manggar,-2.8833,108.2667,78.33,84,100,2.44,ID,1670269404
211,sao joao do piaui,-8.3581,-42.2467,86.67,47,100,5.73,BR,1670269404
212,kondinskoye,59.6481,67.41,-6.23,100,98,4.41,RU,1670269405
213,litovko,49.2361,135.1742,-0.9,91,32,9.01,RU,1670269406
214,pangnirtung,66.1451,-65.7125,23.0,93,100,24.16,CA,1670269406
215,salta,-24.7859,-65.4117,90.19,29,40,11.5,AR,1670269399
216,bilma,18.6853,12.9164,75.18,18,2,4.9,NE,1670269407
217,tyukhtet,56.5389,89.3011,-1.59,93,100,6.42,RU,1670269407
218,contamana,-7.3333,-75.0167,91.92,40,99,4.34,PE,1670269407
219,bumba,2.1833,22.4667,69.13,97,100,3.4,CD,1670269408
220,binga,-17.6203,27.3414,82.0,38,6,3.31,ZW,1670269408
221,fort nelson,58.8053,-122.7002,-4.05,59,40,5.75,CA,1670269408
222,bambous virieux,-20.3428,57.7575,77.25,78,40,5.75,MU,1670269409
223,mezen,65.8522,44.24,14.94,94,99,9.64,RU,1670269409
224,bandarbeyla,9.4942,50.8122,77.81,74,20,19.62,SO,1670269410
225,umm lajj,25.0213,37.2685,75.88,62,0,6.6,SA,1670269410
226,waipawa,-41.4122,175.5153,60.6,60,0,12.68,NZ,1670269410
227,visnes,59.3556,5.2242,35.22,93,75,3.44,NO,1670269411
228,anuppur,23.1,81.6833,56.26,58,0,2.64,IN,1670269411
229,herat,34.5,62.0,32.18,70,80,5.99,AF,1670269411
230,iquique,-20.2208,-70.1431,69.84,65,22,8.52,CL,1670269179
231,maniitsoq,65.4167,-52.9,36.61,84,100,33.69,GL,1670269412
232,orlik,52.5178,99.825,-17.88,86,59,2.46,RU,1670269412
233,baruun-urt,46.6806,113.2792,1.31,75,3,13.35,MN,1670269412
234,richards bay,-28.783,32.0377,70.43,81,100,14.38,ZA,1670269412
235,ishinomaki,38.4167,141.3,36.23,71,100,5.48,JP,1670269413
236,college,64.8569,-147.8028,14.58,88,75,6.91,US,1670269271
237,kinablangan,7.6947,126.5503,76.91,89,100,4.5,PH,1670269413
238,muscat,23.6139,58.5922,73.42,65,0,5.66,OM,1670269413
239,guerrero negro,27.9769,-114.0611,68.25,63,9,15.08,MX,1670269414
240,evensk,61.95,159.2333,5.94,92,100,7.47,RU,1670269414
241,codrington,-38.2667,141.9667,52.9,73,9,11.54,AU,1670269414
242,shiyan,32.6475,110.7781,37.27,71,71,1.01,CN,1670269415
243,bengkulu,-3.8004,102.2655,74.05,91,100,3.04,ID,1670269415
244,saint-pierre,-21.3393,55.4781,76.68,65,0,10.36,RE,1670269415
245,morrope,-6.5417,-80.0111,77.11,51,5,15.39,PE,1670269416
246,cherskiy,68.75,161.3,-16.2,89,100,5.68,RU,1670269416
247,batemans bay,-35.7167,150.1833,60.1,90,17,4.83,AU,1670269183
248,bathsheba,13.2167,-59.5167,83.01,69,40,3.44,BB,1670269416
249,pisco,-13.7,-76.2167,71.65,73,20,8.05,PE,1670269417
250,hasaki,35.7333,140.8333,41.4,85,100,25.57,JP,1670269417
251,korcula,42.9622,17.1369,59.79,79,7,16.84,HR,1670269417
252,port hardy,50.6996,-127.4199,33.98,100,75,2.3,CA,1670269417
253,jaque,7.5175,-78.1703,78.33,84,99,7.47,PA,1670269418
254,katsuura,35.1333,140.3,44.62,90,100,18.77,JP,1670269242
255,mahebourg,-20.4081,57.7,77.29,78,40,5.75,MU,1670269418
256,port blair,11.6667,92.75,78.84,83,100,6.91,IN,1670269139
257,yumen,40.2833,97.2,14.4,89,100,4.63,CN,1670269419
258,bilopillya,51.1502,34.3129,21.2,44,36,9.86,UA,1670269419
259,cabittaogan,17.5828,120.3656,77.52,82,81,6.69,PH,1670269419
260,palauig,15.435,119.9045,79.41,75,57,3.8,PH,1670269420
261,dobson,36.3957,-80.7226,48.99,64,100,3.44,US,1670269420
262,luderitz,-26.6481,15.1594,61.95,67,3,23.13,NA,1670269420
263,yulara,-25.2406,130.9889,79.79,17,9,8.01,AU,1670269421
264,fairbanks,64.8378,-147.7164,14.59,88,75,6.91,US,1670269232
265,beli manastir,45.77,18.6036,43.99,90,93,6.04,HR,1670269421
266,souillac,-20.5167,57.5167,77.38,78,40,5.75,MU,1670269421
267,san quintin,30.4833,-115.95,65.89,71,0,17.0,MX,1670269422
268,teacapan,22.55,-105.75,80.94,63,10,7.9,MX,1670269422
269,hobyo,5.3505,48.5268,80.22,78,100,16.04,SO,1670269422
270,tonkino,57.3726,46.4629,2.98,92,84,5.28,RU,1670269423
271,yaring,6.8662,101.3689,76.28,88,96,8.08,TH,1670269423
272,shebunino,46.4339,141.8603,25.88,64,100,20.47,RU,1670269423
273,sol-iletsk,51.1631,54.9918,7.48,89,8,8.57,RU,1670269424
274,songea,-10.6833,35.65,74.55,50,20,6.91,TZ,1670269424
275,manono,-7.3,27.4167,66.58,98,100,2.77,CD,1670269424
276,cadillac,44.2519,-85.4012,39.11,70,100,10.36,US,1670269425
277,lufilufi,-13.8745,-171.5986,80.38,74,77,7.16,WS,1670269425
278,usinsk,65.9939,57.5281,1.29,97,68,12.93,RU,1670269425
279,boundiali,9.5217,-6.4869,81.75,40,88,0.98,CI,1670269426
280,agadir,30.4202,-9.5982,61.25,83,86,1.7,MA,1670269426
281,innisfail,-17.5333,146.0333,70.41,75,0,4.36,AU,1670269426
282,svetlyy,54.675,20.1347,30.25,90,100,8.05,RU,1670269427
283,kysyl-syr,63.8986,122.7617,-13.47,98,100,4.14,RU,1670269427
284,kothapet,19.3333,79.4833,64.29,60,97,4.14,IN,1670269427
285,nemuro,43.3236,145.575,28.47,56,0,13.18,JP,1670269428
286,gorin,51.1983,136.6669,-4.2,94,100,3.91,RU,1670269428
287,santa maria,-29.6842,-53.8069,87.1,51,75,12.66,BR,1670269274
288,zelenoborsk,61.4669,64.0333,-0.15,100,100,4.74,RU,1670269428
289,fortuna,40.5982,-124.1573,51.93,87,100,6.91,US,1670269429
290,talaya,61.3833,152.75,-43.08,99,59,0.78,RU,1670269429
